Value Name,Value,Comment,Software Version,Software Date
hrm1,1,
axh01,2,AXH01 HRM chipset
axb01,3,
axb02,4,
hrm2ss,5,
dsi_alf02,6,
hrm3ss,7,
hrm_run_single_byte_product_id,8,hrm_run model for HRM ANT+ messaging
bsm,9,BSM model for ANT+ messaging
bcm,10,BCM model for ANT+ messaging
axs01,11,AXS01 HRM Bike Chipset model for ANT+ messaging
hrm_tri_single_byte_product_id,12,hrm_tri model for HRM ANT+ messaging
hrm4_run_single_byte_product_id,13,hrm4 run model for HRM ANT+ messaging
fr225_single_byte_product_id,14,fr225 model for HRM ANT+ messaging
gen3_bsm_single_byte_product_id,15,gen3_bsm model for Bike Speed ANT+ messaging
gen3_bcm_single_byte_product_id,16,gen3_bcm model for Bike Cadence ANT+ messaging
hrm_fit_single_byte_product_id,22,
OHR,255,Garmin Wearable Optical Heart Rate Sensor for ANT+ HR Profile Broadcasting
fr301_china,473,
fr301_japan,474,
fr301_korea,475,
fr301_taiwan,494,
fr405,717,Forerunner 405
fr50,782,Forerunner 50
fr405_japan,987,
fr60,988,Forerunner 60
dsi_alf01,1011,
fr310xt,1018,Forerunner 310
edge500,1036,
fr110,1124,Forerunner 110
edge800,1169,
edge500_taiwan,1199,
edge500_japan,1213,
chirp,1253,
fr110_japan,1274,
edge200,1325,
fr910xt,1328,
edge800_taiwan,1333,
edge800_japan,1334,
alf04,1341,
fr610,1345,
fr210_japan,1360,
vector_ss,1380,
vector_cp,1381,
edge800_china,1386,
edge500_china,1387,
approach_g10,1405,
fr610_japan,1410,
edge500_korea,1422,
fr70,1436,
fr310xt_4t,1446,
amx,1461,
fr10,1482,
edge800_korea,1497,
swim,1499,
fr910xt_china,1537,
fenix,1551,
edge200_taiwan,1555,
edge510,1561,
edge810,1567,
tempe,1570,
fr910xt_japan,1600,
fr620,1623,
fr220,1632,
fr910xt_korea,1664,
fr10_japan,1688,
edge810_japan,1721,
virb_elite,1735,
edge_touring,1736,Also Edge Touring Plus
edge510_japan,1742,
hrm_tri,1743,Also HRM-Swim
hrm_run,1752,
fr920xt,1765,
edge510_asia,1821,
edge810_china,1822,
edge810_taiwan,1823,
edge1000,1836,
vivo_fit,1837,
virb_remote,1853,
vivo_ki,1885,
fr15,1903,
vivo_active,1907,
edge510_korea,1918,
fr620_japan,1928,
fr620_china,1929,
fr220_japan,1930,
fr220_china,1931,
approach_s6,1936,
vivo_smart,1956,
fenix2,1967,
epix,1988,,360,2020-07-15
fenix3,2050,
edge1000_taiwan,2052,
edge1000_japan,2053,
fr15_japan,2061,
edge520,2067,,1320,2020-08-12
edge1000_china,2070,
fr620_russia,2072,
fr220_russia,2073,
vector_s,2079,
edge1000_korea,2100,
fr920xt_taiwan,2130,
fr920xt_china,2131,
fr920xt_japan,2132,
virbx,2134,
vivo_smart_apac,2135,
etrex_touch,2140,
edge25,2147,
fr25,2148,
vivo_fit2,2150,
fr225,2153,
fr630,2156,
fr230,2157,
fr735xt,2158,
vivo_active_apac,2160,
vector_2,2161,
vector_2s,2162,
virbxe,2172,
fr620_taiwan,2173,
fr220_taiwan,2174,
truswing,2175,
d2airvenu,2187,
fenix3_china,2188,
fenix3_twn,2189,
varia_headlight,2192,
varia_taillight_old,2193,
edge_explore_1000,2204,
fr225_asia,2219,
varia_radar_taillight,2225,
varia_radar_display,2226,
edge20,2238,
edge520_asia,2260,
edge520_japan,2261,
d2_bravo,2262,
approach_s20,2266,
vivo_smart2,2271,
edge1000_thai,2274,
varia_remote,2276,
edge25_asia,2288,
edge25_jpn,2289,
edge20_asia,2290,
approach_x40,2292,
fenix3_japan,2293,
vivo_smart_emea,2294,
fr630_asia,2310,
fr630_jpn,2311,
fr230_jpn,2313,
hrm4_run,2327,
epix_japan,2332,
vivo_active_hr,2337,
vivo_smart_gps_hr,2347,
vivo_smart_hr,2348,
vivo_smart_hr_asia,2361,
vivo_smart_gps_hr_asia,2362,
vivo_move,2368,
varia_taillight,2379,
fr235_asia,2396,
fr235_japan,2397,
varia_vision,2398,
vivo_fit3,2406,
fenix3_korea,2407,
fenix3_sea,2408,
fenix3_hr,2413,
virb_ultra_30,2417,
index_smart_scale,2429,
fr235,2431,
fenix3_chronos,2432,
oregon7xx,2441,
rino7xx,2444,
epix_korea,2457,
fenix3_hr_chn,2473,
fenix3_hr_twn,2474,
fenix3_hr_jpn,2475,
fenix3_hr_sea,2476,
fenix3_hr_kor,2477,
nautix,2496,
vivo_active_hr_apac,2497,
fr35,2503,
oregon7xx_ww,2512,
edge_820,2530,,1270,2020-09-11
edge_explore_820,2531,,1270,2020-09-11
fr735xt_apac,2533,
fr735xt_japan,2534,
fenix5s,2544,
d2_bravo_titanium,2547,
varia_ut800,2567,Varia UT 800 SW
running_dynamics_pod,2593,
edge_820_china,2599,
edge_820_japan,2600,
fenix5x,2604,
vivo_fit_jr,2606,
vivo_smart3,2622,
vivo_sport,2623,
edge_820_taiwan,2628,
edge_820_korea,2629,
edge_820_sea,2630,
fr35_hebrew,2650,
approach_s60,2656,
fr35_apac,2667,
fr35_japan,2668,
fenix3_chronos_asia,2675,
virb_360,2687,
fr935,2691,
fenix5,2697,
vivoactive3,2700,
fr235_china_nfc,2733,
foretrex_601_701,2769,
vivo_move_hr,2772,
edge_1030,2713,,1375,2023-03-22
fr35_sea,2727,
vector_3,2787,
fenix5_asia,2796,
fenix5s_asia,2797,
fenix5x_asia,2798,
approach_z80,2806,
fr35_korea,2814,
d2charlie,2819,
vivo_smart3_apac,2831,
vivo_sport_apac,2832,
fr935_asia,2833,
descent,2859,
vivo_fit4,2878,
fr645,2886,
fr645m,2888,
fr30,2891,
fenix5s_plus,2900,
